iter	MAE
0	51.20974496
1	49.73724962
2	48.33369793
3	46.95852976
4	45.59327145
5	44.28898788
6	43.21498577
7	41.97628787
8	40.7781127
9	39.61840665
10	38.49946232
11	37.41596656
12	36.37398568
13	35.3587474
14	34.36959877
15	33.42757669
16	32.49873011
17	31.61630489
18	30.76739897
19	29.94042675
20	29.12050737
21	28.37487849
22	27.63211549
23	26.88593163
24	26.14352164
25	25.45653007
26	24.8243819
27	24.15075177
28	23.55141194
29	22.94431604
30	22.33297479
31	21.74514435
32	21.22368174
33	20.66606517
34	20.13740523
35	19.61559298
36	19.1228364
37	18.72203201
38	18.24708249
39	17.79824616
40	17.37379659
41	16.96356547
42	16.54266377
43	16.12771255
44	15.72980434
45	15.37288873
46	15.00891952
47	14.66857909
48	14.33134975
49	13.99584663
50	13.6744556
51	13.34584609
52	13.0343613
53	12.74428537
54	12.45340608
55	12.17404213
56	11.9094846
57	11.63346174
58	11.36798438
59	11.12974556
60	10.89199264
61	10.6648862
62	10.44581195
63	10.22071653
64	10.01953574
65	9.796672946
66	9.5797509
67	9.387661722
68	9.206530535
69	9.018266463
70	8.821693159
71	8.636092519
72	8.457293304
73	8.295401938
74	8.138472172
75	7.9928226
76	7.846342021
77	7.692113717
78	7.549316739
79	7.409176627
80	7.275948604
81	7.144923211
82	7.015498141
83	6.891389702
84	6.770898204
85	6.647406434
86	6.553674294
87	6.440153834
88	6.338564723
89	6.244636101
90	6.14065182
91	6.042943676
92	5.950334054
93	5.86505453
94	5.776563092
95	5.691399601
96	5.614117673
97	5.541314501
98	5.462622763
99	5.390580559
100	5.317536438
101	5.245499075
102	5.176492036
103	5.105301283
104	5.051630558
105	4.981879673
106	4.916286946
107	4.857575492
108	4.794895866
109	4.740906799
110	4.687215261
111	4.636196902
112	4.585509195
113	4.534988538
114	4.48761668
115	4.446295629
116	4.400684
117	4.355272734
118	4.317654188
119	4.285048727
120	4.239625822
121	4.197342421
122	4.158512077
123	4.125839621
124	4.098560531
125	4.059143253
126	4.022534425
127	3.985150962
128	3.956267432
129	3.925867445
130	3.895168774
131	3.862129819
132	3.831747424
133	3.804728
134	3.778015746
135	3.752584115
136	3.729729686
137	3.704109094
138	3.682270959
139	3.659576936
140	3.639357274
141	3.613884024
142	3.593496061
143	3.570344952
144	3.550730792
145	3.533293429
146	3.517956732
147	3.499329811
148	3.482048608
149	3.465752401
150	3.448466921
151	3.435395717
152	3.420819622
153	3.404155315
154	3.389931895
155	3.374352067
156	3.361770351
157	3.345759938
158	3.332220256
159	3.315228014
160	3.302808989
161	3.292776771
162	3.281511006
163	3.270346427
164	3.261602919
165	3.251417816
166	3.240271592
167	3.228992542
168	3.217375217
169	3.206097924
170	3.193853152
171	3.182864389
172	3.172282092
173	3.162161868
174	3.15019533
175	3.143106866
176	3.13435153
177	3.126599634
178	3.11919616
179	3.108266142
180	3.102465501
181	3.096461699
182	3.08934446
183	3.08183405
184	3.075607931
185	3.06236453
186	3.054184013
187	3.046997004
188	3.041047154
189	3.034086471
190	3.025028091
191	3.017883472
192	3.006412602
193	3.002122597
194	2.996393473
195	2.988878233
196	2.980854977
197	2.973106298
198	2.968116353
199	2.963602614
200	2.958940772
201	2.953917406
202	2.94979032
203	2.941728914
204	2.938612346
205	2.933773937
206	2.92798234
207	2.923998113
208	2.916516788
209	2.909183024
210	2.904297233
211	2.895588429
212	2.88956493
213	2.882698702
214	2.877101158
215	2.868666486
216	2.864344434
217	2.86068987
218	2.855919843
219	2.853308912
220	2.847178151
221	2.840604262
222	2.836386982
223	2.830620016
224	2.823593368
225	2.817306376
226	2.814153898
227	2.809689348
228	2.805170503
229	2.800987866
230	2.795087111
231	2.789795364
232	2.784690859
233	2.780667545
234	2.776436098
235	2.772164966
236	2.764696072
237	2.76193051
238	2.75608707
239	2.751143906
240	2.748878214
241	2.74642657
242	2.742413705
243	2.73731226
244	2.731186274
245	2.725433984
246	2.720163991
247	2.717806155
248	2.71386319
249	2.711090037
250	2.705693017
251	2.701036048
252	2.696544699
253	2.69333963
254	2.690047583
255	2.686616367
256	2.68371209
257	2.67945274
258	2.677127625
259	2.672765054
260	2.668968126
261	2.663524932
262	2.660425879
263	2.653890369
264	2.650315715
265	2.646937121
266	2.642959016
267	2.639556445
268	2.634998005
269	2.631614176
270	2.627944716
271	2.625926987
272	2.623167877
273	2.620781122
274	2.617238828
275	2.613618591
276	2.609480105
277	2.60410157
278	2.599775803
279	2.595564709
280	2.590608883
281	2.586207504
282	2.584520528
283	2.581710055
284	2.580191274
285	2.577525058
286	2.572550318
287	2.566868362
288	2.564782134
289	2.560996277
290	2.556646242
291	2.552548619
292	2.547749514
293	2.54467405
294	2.542481844
295	2.539354132
296	2.535287442
297	2.533383673
298	2.531474679
299	2.528709149
300	2.52556614
301	2.522432029
302	2.520422946
303	2.515827292
304	2.512047841
305	2.508572003
306	2.506975138
307	2.504948918
308	2.501896696
309	2.498440328
310	2.492771844
311	2.490988043
312	2.487585231
313	2.485620917
314	2.481746343
315	2.477225378
316	2.475862559
317	2.472212569
318	2.467462175
319	2.466073131
320	2.460934334
321	2.456326112
322	2.453171755
323	2.45039539
324	2.448716166
325	2.44513701
326	2.441853703
327	2.440394136
328	2.436591524
329	2.433171226
330	2.428277342
331	2.425791942
332	2.423334467
333	2.42220092
334	2.4192297
335	2.41731874
336	2.415967421
337	2.413051762
338	2.411646234
339	2.408592106
340	2.405337746
341	2.403023427
342	2.401843644
343	2.398773264
344	2.394814821
345	2.39262777
346	2.389356207
347	2.386713984
348	2.383201412
349	2.38076921
350	2.377088891
351	2.376037069
352	2.374283665
353	2.372649602
354	2.370088574
355	2.366518273
356	2.365088445
357	2.362623518
358	2.360756057
359	2.357203091
360	2.356302903
361	2.354509643
362	2.352354868
363	2.349344717
364	2.347276476
365	2.344308037
366	2.343163799
367	2.341566141
368	2.338398077
369	2.336058929
370	2.33329351
371	2.331445176
372	2.329139826
373	2.32765394
374	2.32451985
375	2.32257884
376	2.320437674
377	2.317916312
378	2.315672062
379	2.314366448
380	2.313161363
381	2.309993538
382	2.30864483
383	2.306940024
384	2.305518126
385	2.302529681
386	2.301635488
387	2.300300225
388	2.299346911
389	2.297878043
390	2.297240924
391	2.296019288
392	2.294605154
393	2.292873335
394	2.291801792
395	2.290346546
396	2.287971206
397	2.285493741
398	2.283094932
399	2.281914509
400	2.279203697
401	2.276707338
402	2.275248197
403	2.273553859
404	2.27236913
405	2.271404171
406	2.269193575
407	2.267800579
408	2.266455541
409	2.264765119
410	2.261472853
411	2.260340116
412	2.258971752
413	2.258234011
414	2.25771705
415	2.255507443
416	2.254308038
417	2.253006524
418	2.252502263
419	2.251725583
420	2.250473391
421	2.249185988
422	2.248304202
423	2.244768915
424	2.242935286
425	2.241674986
426	2.239253477
427	2.236870222
428	2.236380013
429	2.235554736
430	2.23210738
431	2.231580791
432	2.2311399
433	2.229149874
434	2.227544244
435	2.226778959
436	2.225126735
437	2.223328198
438	2.222956057
439	2.222305337
440	2.22119095
441	2.219450066
442	2.216960877
443	2.215551668
444	2.213758154
445	2.212686408
446	2.210933937
447	2.210071886
448	2.208626477
449	2.207929434
450	2.205200024
451	2.203407195
452	2.201803945
453	2.200386149
454	2.199378605
455	2.19701006
456	2.194950627
457	2.193950497
458	2.192846028
459	2.191002558
460	2.189268116
461	2.188557805
462	2.186856775
463	2.18551892
464	2.184006019
465	2.183268713
466	2.182726922
467	2.181533987
468	2.18089923
469	2.180424114
470	2.178917502
471	2.177264212
472	2.175901322
473	2.175169274
474	2.174770268
475	2.173490271
476	2.172467947
477	2.171190058
478	2.170855492
479	2.169726365
480	2.169124371
481	2.167503555
482	2.16645192
483	2.164671107
484	2.16413449
485	2.162839575
486	2.161473887
487	2.160124513
488	2.158862251
489	2.158110688
490	2.156353337
491	2.156007588
492	2.153973736
493	2.153380184
494	2.151569299
495	2.149774541
496	2.147724729
497	2.147436888
498	2.146380303
499	2.144782974
500	2.143480015
501	2.142983456
502	2.141768242
503	2.141548323
504	2.140647813
505	2.139547439
506	2.138378309
507	2.136261509
508	2.135486628
509	2.135165499
510	2.133920103
511	2.132168496
512	2.131211895
513	2.13046759
514	2.1292444
515	2.128627799
516	2.1278193
517	2.126985439
518	2.12671844
519	2.126312487
520	2.124567581
521	2.123768811
522	2.122954547
523	2.121986335
524	2.121274425
525	2.120426442
526	2.120225636
527	2.119753503
528	2.118592483
529	2.116953196
530	2.116323838
531	2.115068812
532	2.113548938
533	2.111913445
534	2.110632634
535	2.109612464
536	2.109302362
537	2.108486606
538	2.107343578
539	2.106715721
540	2.105685862
541	2.104957376
542	2.103956295
543	2.103404304
544	2.101826885
545	2.101356508
546	2.100895916
547	2.100538345
548	2.099380364
549	2.098468572
550	2.097706898
551	2.09617409
552	2.094442773
553	2.093036254
554	2.091990982
555	2.091649151
556	2.090454847
557	2.089791735
558	2.089307885
559	2.087861733
560	2.087147899
561	2.086445304
562	2.085476548
563	2.084196636
564	2.083058389
565	2.08196433
566	2.081214448
567	2.080092611
568	2.078989599
569	2.077196091
570	2.07647162
571	2.075525345
572	2.074859001
573	2.073920628
574	2.072464111
575	2.071801571
576	2.070456175
577	2.069339045
578	2.068609885
579	2.067176388
580	2.066318568
581	2.065894616
582	2.064275383
583	2.063444775
584	2.062790202
585	2.061640778
586	2.061411267
587	2.061173493
588	2.060915482
589	2.060759737
590	2.060161027
591	2.0595849
592	2.059060684
593	2.05852442
594	2.057475111
595	2.056105944
596	2.055288572
597	2.053913293
598	2.052787468
599	2.051463371
600	2.050704491
601	2.049941968
602	2.048748258
603	2.048197436
604	2.047413969
605	2.046279704
606	2.04469052
607	2.044477606
608	2.043932599
609	2.043475736
610	2.04297033
611	2.042459684
612	2.041461349
613	2.040727272
614	2.040384077
615	2.039701772
616	2.038751322
617	2.038194306
618	2.036795993
619	2.035916917
620	2.035642094
