iter	Passed	Remaining
0	4	4759
1	9	4522
2	12	4115
3	15	3800
4	18	3646
5	21	3530
6	23	3284
7	26	3258
8	29	3216
9	31	3128
10	34	3091
11	36	3023
12	39	2963
13	41	2927
14	43	2877
15	46	2843
16	48	2825
17	51	2802
18	54	2793
19	56	2791
20	59	2766
21	61	2733
22	64	2720
23	66	2714
24	69	2693
25	71	2677
26	73	2661
27	76	2638
28	78	2623
29	80	2610
30	83	2607
31	85	2596
32	88	2587
33	91	2588
34	93	2590
35	96	2585
36	99	2586
37	102	2589
38	104	2579
39	107	2578
40	110	2573
41	112	2565
42	115	2562
43	117	2550
44	120	2559
45	123	2563
46	126	2555
47	128	2550
48	131	2552
49	134	2553
50	137	2556
51	140	2560
52	143	2561
53	146	2563
54	149	2566
55	152	2564
56	154	2562
57	158	2568
58	161	2572
59	165	2585
60	168	2588
61	171	2589
62	175	2606
63	178	2615
64	183	2632
65	186	2635
66	189	2643
67	192	2639
68	195	2643
69	199	2645
70	201	2642
71	205	2642
72	208	2643
73	211	2645
74	214	2641
75	216	2635
76	219	2631
77	222	2628
78	224	2622
79	228	2632
80	232	2636
81	234	2630
82	238	2637
83	242	2643
84	245	2642
85	249	2647
86	252	2645
87	255	2646
88	258	2641
89	261	2641
90	264	2642
91	267	2643
92	271	2643
93	273	2636
94	277	2642
95	279	2630
96	283	2638
97	287	2645
98	290	2645
99	295	2659
100	299	2664
101	303	2676
102	306	2673
103	310	2674
104	312	2665
105	315	2663
106	319	2666
107	322	2661
108	325	2661
109	329	2665
110	332	2666
111	336	2667
112	340	2671
113	344	2674
114	346	2667
115	349	2664
116	353	2665
117	356	2664
118	359	2664
119	362	2660
120	365	2657
121	368	2655
122	371	2647
123	374	2644
124	377	2639
125	380	2636
126	383	2634
127	386	2630
128	389	2631
129	393	2630
130	395	2626
131	399	2624
132	402	2622
133	405	2619
134	407	2613
135	410	2610
136	413	2606
137	416	2601
138	419	2596
139	421	2591
140	424	2587
141	427	2580
142	429	2576
143	432	2573
144	435	2568
145	438	2562
146	440	2555
147	443	2551
148	445	2546
149	448	2542
150	451	2538
151	454	2536
152	457	2534
153	460	2530
154	463	2526
155	465	2521
156	468	2517
157	471	2514
158	474	2510
159	477	2506
160	479	2500
161	482	2495
162	485	2494
163	488	2490
164	491	2486
165	493	2480
166	496	2477
167	498	2470
168	501	2465
169	504	2461
170	506	2455
171	508	2449
172	511	2443
173	513	2439
174	516	2434
175	518	2428
176	521	2424
177	523	2419
178	526	2412
179	528	2407
180	530	2400
181	532	2394
182	535	2390
183	538	2386
184	540	2380
185	543	2376
186	545	2370
187	547	2364
188	549	2358
189	552	2353
190	554	2347
191	556	2342
192	559	2337
193	561	2333
194	564	2328
195	566	2323
196	568	2319
197	571	2313
198	573	2309
199	576	2304
200	578	2299
201	580	2294
202	583	2291
203	586	2287
204	588	2282
205	591	2278
206	593	2274
207	596	2271
208	599	2268
209	601	2263
210	604	2259
211	606	2255
212	609	2251
213	611	2247
214	614	2244
215	617	2242
216	620	2238
217	622	2233
218	624	2228
219	627	2224
220	629	2220
221	632	2216
222	634	2212
223	637	2208
224	640	2205
225	642	2201
226	645	2197
227	647	2192
228	649	2188
229	652	2185
